# I18n English strings (key,en)
# 格式：key,英文值。中文值硬编码在代码中作为默认，英文从此字典查取。
# 注意：值中不含逗号，含逗号的用引号包裹。
# 2026-09-19 v2.0 补齐：新增 M套件/状态面板/基础UI/砍价场景/地块tooltip/人格名词条；
# 数字口径更新为 v2.2（胜利线110、告警线90）；panel_train 去除 emoji（豆腐块风险）。

# ===== 播报系统 =====
broadcast_tutorial,The city's prosperity depends on its poorest resident. Don't let anyone go bankrupt — reach prosperity 110 for a collective victory!
broadcast_prosperity_down,City prosperity {old} → {new} (▼{delta}) — land values dropping…
broadcast_prosperity_up,City prosperity {old} → {new} (▲{delta}) — all city assets appreciating!
broadcast_warning_below30,WARNING: Prosperity has fallen below 30! The city is on the brink — the poorest player's wealth is dragging everyone down!
broadcast_warning_above90,PROSPERITY: Broke through 90! Just one step from collective victory (110) — don't let go!
broadcast_phase_crisis,WARNING: The city has entered recession! Emergency measures activated: increased welfare & reduced disasters
broadcast_phase_sprint,PROSPERITY: Economic boom! The city enters sprint mode — opportunities and risks abound
broadcast_shortboard_alert,[WARNING] {player} is on the verge of bankruptcy — saving them saves everyone!

# ===== v2.2 M套件（萧条经济）=====
broadcast_crisis_fee_summary,[CRISIS] Municipal maintenance fee collected; inflation devoured {total} yuan in hoarded cash ({names})
broadcast_crisis_fee_only,[CRISIS] The depression continues. Municipal maintenance fee: {amount} yuan per person
broadcast_surcharge,[WARNING] {player}'s reputation is in tatters — boycotted by the people, maintenance fee DOUBLED!
broadcast_sprint_dividend,[PROSPERITY] Economic boom — the whole city receives a 20 yuan dividend
broadcast_rescue_denied,[RUMOR] Someone turned a blind eye to {player}'s plight…
event_aid_skipped,[EVENT] The municipal coffers are full — no relief needed this round

# ===== 交易播报 =====
broadcast_deal_ok,[DEAL] {buyer} purchased plot {tile} for {price} yuan (market: {market} — negotiated {pct}% savings)
broadcast_deal_high,[DEAL] {buyer} purchased plot {tile} for {price} yuan (above market price — overpaid…)
broadcast_deal_fail,[DEAL] {buyer} and {seller} failed to negotiate. Rent paid: {rent} yuan
broadcast_rep_change,[REPUTATION] {player} reputation {delta} ({card})
broadcast_rent,[RENT] {payer} paid {rent} yuan rent to {owner}
